Gender,Country,Age_Group,Value,SAL_NAME_2021
M,Australia,10_24,510,Armstrong Creek (Vic.)
M,Australia,10_24,28,Arthurs Creek
M,Australia,10_24,19,Arthurs Seat
M,Australia,10_24,8,Ascot (Ballarat - Vic.)
M,Australia,10_24,111,Ascot (Greater Bendigo - Vic.)
M,Australia,10_24,641,Ascot Vale
M,Australia,10_24,9,Ashbourne (Vic.)
M,Australia,10_24,468,Ashburton
M,Australia,10_24,318,Ashwood
M,Australia,10_24,393,Aspendale
M,Australia,10_24,427,Aspendale Gardens
M,Australia,10_24,9,Athlone
M,Australia,10_24,222,Attwood
M,Australia,10_24,17,Avalon
M,Australia,10_24,56,Avenel
M,Australia,10_24,50,Avoca (Vic.)
M,Australia,10_24,516,Avondale Heights
M,Australia,10_24,3,Avonmore
M,Australia,10_24,57,Avonsleigh
M,Australia,10_24,36,Axe Creek
M,Australia,10_24,42,Axedale
M,Australia,10_24,333,Bacchus Marsh
M,Australia,10_24,25,Baddaginnie
M,Australia,10_24,81,Badger Creek
M,Australia,10_24,14,Bagshot
M,Australia,10_24,3,Bailieston
M,Australia,10_24,377,Bairnsdale
M,Australia,10_24,11,Bakery Hill
M,Australia,10_24,166,Balaclava (Vic.)
M,Australia,10_24,13,Bald Hills (Vic.)
M,Australia,10_24,166,Ballan
M,Australia,10_24,9,Ballangeich
M,Australia,10_24,251,Ballarat Central
M,Australia,10_24,255,Ballarat East
M,Australia,10_24,194,Ballarat North
M,Australia,10_24,10,Ballendella
M,Australia,10_24,5,Balliang
M,Australia,10_24,13,Balliang East
M,Australia,10_24,3,Balmattum
M,Australia,10_24,16,Balmoral (Vic.)
M,Australia,10_24,90,Balnarring
M,Australia,10_24,18,Balnarring Beach
M,Australia,10_24,628,Balwyn
M,Australia,10_24,1261,Balwyn North
M,Australia,10_24,20,Bamawm
M,Australia,10_24,12,Bamawm Extension
M,Australia,10_24,3,Bambra
M,Australia,10_24,182,Bandiana
M,Australia,10_24,14,Bangholme
M,Australia,10_24,3,Bannerton
M,Australia,10_24,364,Bannockburn (Vic.)
M,Australia,10_24,137,Baranduda
M,Australia,10_24,3,Barfold
M,Australia,10_24,6,Baringhup
M,Australia,10_24,5,Barjarg
M,Australia,10_24,10,Barkers Creek
M,Australia,10_24,5,Barkstead
M,Australia,10_24,10,Barmah
M,Australia,10_24,44,Barnawartha
M,Australia,10_24,13,Barnawartha North
M,Australia,10_24,5,Baromi
M,Australia,10_24,25,Barongarook
M,Australia,10_24,19,Barongarook West
M,Australia,10_24,14,Barrabool
M,Australia,10_24,5,Barwidgee
M,Australia,10_24,9,Barwite
M,Australia,10_24,3,Barwon Downs
M,Australia,10_24,200,Barwon Heads
M,Australia,10_24,3,Basalt (Vic.)
M,Australia,10_24,23,Bass
M,Australia,10_24,79,Batesford
M,Australia,10_24,6,Bathumi
M,Australia,10_24,108,Baxter
M,Australia,10_24,13,Bayles
M,Australia,10_24,5,Baynton (Vic.)
M,Australia,10_24,519,Bayswater (Vic.)
M,Australia,10_24,404,Bayswater North
M,Australia,10_24,554,Beaconsfield (Vic.)
M,Australia,10_24,215,Beaconsfield Upper
M,Australia,10_24,4,Bealiba
M,Australia,10_24,3,Bearii
M,Australia,10_24,77,Beaufort (Vic.)
M,Australia,10_24,792,Beaumaris (Vic.)
M,Australia,10_24,16,Beeac
M,Australia,10_24,3,Beech Forest
M,Australia,10_24,160,Beechworth
M,Australia,10_24,203,Belgrave
M,Australia,10_24,94,Belgrave Heights
M,Australia,10_24,104,Belgrave South
M,Australia,10_24,247,Bell Park
M,Australia,10_24,240,Bell Post Hill
M,Australia,10_24,3,Bellarine
M,Australia,10_24,49,Bellbrae
M,Australia,10_24,14,Bellbridge
M,Australia,10_24,80,Bellfield (Banyule - Vic.)
M,Australia,10_24,8,Bells Beach
M,Australia,10_24,783,Belmont (Vic.)
M,Australia,10_24,3,Bemm River
M,Australia,10_24,10,Bena
M,Australia,10_24,472,Benalla
M,Australia,10_24,5,Benambra
M,Australia,10_24,9,Bend Of Islands
M,Australia,10_24,313,Bendigo
M,Australia,10_24,3,Bengworden
M,Australia,10_24,4,Benjeroop
M,Australia,10_24,3,Benloch
M,Australia,10_24,900,Bentleigh
M,Australia,10_24,1436,Bentleigh East
M,Australia,10_24,8,Beremboke
M,Australia,10_24,5,Berrimal
M,Australia,10_24,7,Berringa
M,Australia,10_24,7,Berriwillock
M,Australia,10_24,10,Berrys Creek
M,Australia,10_24,2693,Berwick
M,Australia,10_24,3,Bessiebelle
M,Australia,10_24,7,Bet Bet
M,Australia,10_24,5,Bete Bolong
M,Australia,10_24,14,Bethanga
M,Australia,10_24,11,Beulah (Vic.)
M,Australia,10_24,11,Beverford
M,Australia,10_24,194,Beveridge
M,Australia,10_24,8,Big Hill (Greater Bendigo - Vic.)
M,Australia,10_24,3,Big Pats Creek
M,Australia,10_24,7,Biggara
M,Australia,10_24,9,Binginwarri
M,Australia,10_24,23,Birchip
M,Australia,10_24,35,Birdwoodton
M,Australia,10_24,37,Birregurra
M,Australia,10_24,230,Bittern
M,Australia,10_24,97,Black Hill (Vic.)
M,Australia,10_24,9,Black Range (Vic.)
M,Australia,10_24,331,Black Rock (Vic.)
M,Australia,10_24,757,Blackburn
M,Australia,10_24,393,Blackburn North
M,Australia,10_24,542,Blackburn South
M,Australia,10_24,12,Blackwood (Vic.)
M,Australia,10_24,75,Blairgowrie
M,Australia,10_24,5,Blakeville
M,Australia,10_24,3,Blampied
M,Australia,10_24,62,Blind Bight
M,Australia,10_24,3,Bo Peep
M,Australia,10_24,6,Bochara
M,Australia,10_24,5,Boigbeat
M,Australia,10_24,18,Boisdale
M,Australia,10_24,9,Bolinda
M,Australia,10_24,26,Bolwarra (Vic.)
M,Australia,10_24,3,Bona Vista
M,Australia,10_24,216,Bonbeach
M,Australia,10_24,93,Bonegilla
M,Australia,10_24,10,Boneo
M,Australia,10_24,14,Bonnie Brook
M,Australia,10_24,21,Bonnie Doon (Vic.)
M,Australia,10_24,54,Bonshaw (Vic.)
M,Australia,10_24,9,Bookaar
M,Australia,10_24,34,Boolarra
M,Australia,10_24,11,Boolarra South
M,Australia,10_24,6,Boolite
M,Australia,10_24,4,Boorcan
M,Australia,10_24,6,Boorhaman
M,Australia,10_24,30,Boort
M,Australia,10_24,5,Boosey
M,Australia,10_24,3,Boralma
M,Australia,10_24,1007,Boronia
M,Australia,10_24,4,Bostocks Creek
M,Australia,10_24,264,Botanic Ridge
M,Australia,10_24,3,Boundary Bend
M,Australia,10_24,9,Bowenvale
M,Australia,10_24,11,Bowmans Forest
M,Australia,10_24,404,Box Hill (Vic.)
M,Australia,10_24,532,Box Hill North
