Gender,Country of Birth,Demographic Group,Value,SAL_NAME_2021,Year,Predicted_Value
M,Afghanistan,25_44,12,Clayton,2026,110.78816666666665
M,Afghanistan,25_44,6,Clayton South,2026,110.78816666666665
M,Afghanistan,25_44,45,Clyde (Vic.),2026,110.78816666666665
M,Afghanistan,25_44,222,Clyde North,2026,110.78816666666665
M,Afghanistan,25_44,3,Cobblebank,2026,110.78816666666665
M,Afghanistan,25_44,17,Colac,2026,110.78816666666665
M,Afghanistan,25_44,4,Collingwood (Vic.),2026,110.78816666666665
M,Afghanistan,25_44,4,Coolaroo,2026,110.78816666666665
M,Afghanistan,25_44,76,Corio,2026,110.78816666666665
M,Afghanistan,25_44,71,Craigieburn,2026,110.78816666666665
M,Afghanistan,25_44,162,Cranbourne,2026,110.78816666666665
M,Afghanistan,25_44,253,Cranbourne East,2026,110.78816666666665
M,Afghanistan,25_44,367,Cranbourne North,2026,110.78816666666665
M,Afghanistan,25_44,7,Cranbourne South,2026,110.78816666666665
M,Afghanistan,25_44,202,Cranbourne West,2026,110.78816666666665
M,Afghanistan,25_44,7,Dallas,2026,110.78816666666665
M,Afghanistan,25_44,1220,Dandenong,2026,110.78816666666665
M,Afghanistan,25_44,289,Dandenong North,2026,110.78816666666665
M,Afghanistan,25_44,32,Deer Park,2026,110.78816666666665
M,Afghanistan,25_44,7,Delahey,2026,110.78816666666665
M,Afghanistan,25_44,25,Derrimut,2026,110.78816666666665
M,Afghanistan,25_44,4,Devon Meadows,2026,110.78816666666665
M,Afghanistan,25_44,3,Docklands,2026,110.78816666666665
M,Afghanistan,25_44,5,Doncaster East,2026,110.78816666666665
M,Afghanistan,25_44,496,Doveton,2026,110.78816666666665
M,Afghanistan,25_44,241,Endeavour Hills,2026,110.78816666666665
M,Afghanistan,25_44,20,Epping (Vic.),2026,110.78816666666665
M,Afghanistan,25_44,87,Eumemmerring,2026,110.78816666666665
M,Afghanistan,25_44,10,Fawkner,2026,110.78816666666665
M,Afghanistan,25_44,7,Ferntree Gully,2026,110.78816666666665
M,Afghanistan,25_44,9,Fitzroy (Vic.),2026,110.78816666666665
M,Afghanistan,25_44,3,Flora Hill,2026,110.78816666666665
M,Afghanistan,25_44,7,Footscray,2026,110.78816666666665
M,Afghanistan,25_44,5,Forest Hill (Vic.),2026,110.78816666666665
M,Afghanistan,25_44,6,Frankston,2026,110.78816666666665
M,Afghanistan,25_44,4,Frankston North,2026,110.78816666666665
M,Afghanistan,25_44,16,Fraser Rise,2026,110.78816666666665
M,Afghanistan,25_44,7,Geelong West,2026,110.78816666666665
M,Afghanistan,25_44,9,Glen Waverley,2026,110.78816666666665
M,Afghanistan,25_44,8,Glenroy (Vic.),2026,110.78816666666665
M,Afghanistan,25_44,4,Golden Square,2026,110.78816666666665
M,Afghanistan,25_44,4,Greenvale (Vic.),2026,110.78816666666665
M,Afghanistan,25_44,316,Hallam,2026,110.78816666666665
M,Afghanistan,25_44,561,Hampton Park,2026,110.78816666666665
M,Afghanistan,25_44,6,Harkness,2026,110.78816666666665
M,Afghanistan,25_44,4,Heidelberg West,2026,110.78816666666665
M,Afghanistan,25_44,3,Highton,2026,110.78816666666665
M,Afghanistan,25_44,9,Hillside (Melton - Vic.),2026,110.78816666666665
M,Afghanistan,25_44,9,Hoppers Crossing,2026,110.78816666666665
M,Afghanistan,25_44,5,Kalkallo,2026,110.78816666666665
M,Afghanistan,25_44,6,Kangaroo Flat (Vic.),2026,110.78816666666665
M,Afghanistan,25_44,3,Keilor Downs,2026,110.78816666666665
M,Afghanistan,25_44,73,Keysborough,2026,110.78816666666665
M,Afghanistan,25_44,19,Kialla,2026,110.78816666666665
M,Afghanistan,25_44,4,Kings Park (Vic.),2026,110.78816666666665
M,Afghanistan,25_44,4,Knoxfield,2026,110.78816666666665
M,Afghanistan,25_44,4,Koo Wee Rup,2026,110.78816666666665
M,Afghanistan,25_44,6,Kurunjang,2026,110.78816666666665
M,Afghanistan,25_44,16,Lalor,2026,110.78816666666665
M,Afghanistan,25_44,11,Lara,2026,110.78816666666665
M,Afghanistan,25_44,4,Laverton (Vic.),2026,110.78816666666665
M,Afghanistan,25_44,3,Lovely Banks,2026,110.78816666666665
M,Afghanistan,25_44,113,Lynbrook,2026,110.78816666666665
M,Afghanistan,25_44,80,Lyndhurst (Vic.),2026,110.78816666666665
M,Afghanistan,25_44,11,Maidstone,2026,110.78816666666665
M,Afghanistan,25_44,6,Malvern East,2026,110.78816666666665
M,Afghanistan,25_44,4,Manor Lakes,2026,110.78816666666665
M,Afghanistan,25_44,7,Maribyrnong,2026,110.78816666666665
M,Afghanistan,25_44,12,Melbourne,2026,110.78816666666665
M,Afghanistan,25_44,4,Melton (Vic.),2026,110.78816666666665
M,Afghanistan,25_44,6,Melton South,2026,110.78816666666665
M,Afghanistan,25_44,3,Melton West,2026,110.78816666666665
M,Afghanistan,25_44,9,Mickleham,2026,110.78816666666665
M,Afghanistan,25_44,53,Mildura,2026,110.78816666666665
M,Afghanistan,25_44,11,Mill Park,2026,110.78816666666665
M,Afghanistan,25_44,4,Mitcham (Vic.),2026,110.78816666666665
M,Afghanistan,25_44,4,Montmorency,2026,110.78816666666665
M,Afghanistan,25_44,6,Morwell,2026,110.78816666666665
M,Afghanistan,25_44,6,Mount Duneed,2026,110.78816666666665
M,Afghanistan,25_44,5,Mount Pleasant (Vic.),2026,110.78816666666665
M,Afghanistan,25_44,9,Mount Waverley,2026,110.78816666666665
M,Afghanistan,25_44,12,Mulgrave (Vic.),2026,110.78816666666665
M,Afghanistan,25_44,227,Narre Warren,2026,110.78816666666665
M,Afghanistan,25_44,47,Narre Warren North,2026,110.78816666666665
M,Afghanistan,25_44,525,Narre Warren South,2026,110.78816666666665
M,Afghanistan,25_44,91,Noble Park,2026,110.78816666666665
M,Afghanistan,25_44,29,Noble Park North,2026,110.78816666666665
M,Afghanistan,25_44,45,Norlane,2026,110.78816666666665
M,Afghanistan,25_44,3,North Geelong,2026,110.78816666666665
M,Afghanistan,25_44,4,Nunawading,2026,110.78816666666665
M,Afghanistan,25_44,3,Oak Park,2026,110.78816666666665
M,Afghanistan,25_44,6,Oakleigh,2026,110.78816666666665
M,Afghanistan,25_44,6,Oakleigh East,2026,110.78816666666665
M,Afghanistan,25_44,7,Oakleigh South,2026,110.78816666666665
M,Afghanistan,25_44,42,Officer,2026,110.78816666666665
M,Afghanistan,25_44,66,Pakenham,2026,110.78816666666665
M,Afghanistan,25_44,3,Parkville (Vic.),2026,110.78816666666665
M,Afghanistan,25_44,22,Point Cook,2026,110.78816666666665
M,Afghanistan,25_44,5,Port Melbourne,2026,110.78816666666665
M,Afghanistan,25_44,8,Ravenhall,2026,110.78816666666665
M,Afghanistan,25_44,17,Reservoir (Vic.),2026,110.78816666666665
M,Afghanistan,25_44,3,Richmond (Vic.),2026,110.78816666666665
M,Afghanistan,25_44,6,Robinvale,2026,110.78816666666665
M,Afghanistan,25_44,22,Rowville,2026,110.78816666666665
M,Afghanistan,25_44,15,Roxburgh Park,2026,110.78816666666665
M,Afghanistan,25_44,8,Scoresby,2026,110.78816666666665
M,Afghanistan,25_44,3,Seaford (Vic.),2026,110.78816666666665
M,Afghanistan,25_44,156,Shepparton,2026,110.78816666666665
M,Afghanistan,25_44,3,Skye (Vic.),2026,110.78816666666665
M,Afghanistan,25_44,4,South Morang,2026,110.78816666666665
M,Afghanistan,25_44,5,South Wharf,2026,110.78816666666665
M,Afghanistan,25_44,11,Southbank,2026,110.78816666666665
M,Afghanistan,25_44,20,Springvale (Vic.),2026,110.78816666666665
M,Afghanistan,25_44,7,Springvale South,2026,110.78816666666665
M,Afghanistan,25_44,23,St Albans (Vic.),2026,110.78816666666665
M,Afghanistan,25_44,5,St Kilda (Vic.),2026,110.78816666666665
M,Afghanistan,25_44,27,Sunshine (Vic.),2026,110.78816666666665
M,Afghanistan,25_44,19,Sunshine North,2026,110.78816666666665
M,Afghanistan,25_44,68,Sunshine West,2026,110.78816666666665
M,Afghanistan,25_44,15,Swan Hill,2026,110.78816666666665
M,Afghanistan,25_44,3,Sydenham (Vic.),2026,110.78816666666665
M,Afghanistan,25_44,31,Tarneit,2026,110.78816666666665
M,Afghanistan,25_44,12,Taylors Hill,2026,110.78816666666665
M,Afghanistan,25_44,5,Templestowe Lower,2026,110.78816666666665
M,Afghanistan,25_44,15,Thomastown,2026,110.78816666666665
M,Afghanistan,25_44,42,Truganina,2026,110.78816666666665
M,Afghanistan,25_44,3,Wantirna,2026,110.78816666666665
M,Afghanistan,25_44,5,Wantirna South,2026,110.78816666666665
M,Afghanistan,25_44,4,Warragul,2026,110.78816666666665
M,Afghanistan,25_44,4,Waterways,2026,110.78816666666665
M,Afghanistan,25_44,10,Werribee,2026,110.78816666666665
M,Afghanistan,25_44,5,West Footscray,2026,110.78816666666665
M,Afghanistan,25_44,3,Westmeadows,2026,110.78816666666665
M,Afghanistan,25_44,7,Williams Landing,2026,110.78816666666665
M,Afghanistan,25_44,4,Windsor (Vic.),2026,110.78816666666665
M,Afghanistan,25_44,3,Wodonga,2026,110.78816666666665
M,Afghanistan,25_44,19,Wollert,2026,110.78816666666665
M,Afghanistan,25_44,5,Wyndham Vale,2026,110.78816666666665
M,Afghanistan,25_44,5,No usual address (Vic.),2026,110.78816666666665
M,Afghanistan,45_54,4,Aintree,2026,29.609916666666663
M,Afghanistan,45_54,7,Albion (Vic.),2026,29.609916666666663
M,Afghanistan,45_54,7,Altona North,2026,29.609916666666663
M,Afghanistan,45_54,4,Ararat,2026,29.609916666666663
M,Afghanistan,45_54,6,Beaconsfield (Vic.),2026,29.609916666666663
M,Afghanistan,45_54,32,Berwick,2026,29.609916666666663
M,Afghanistan,45_54,3,Broadmeadows (Vic.),2026,29.609916666666663
M,Afghanistan,45_54,3,Burnside (Vic.),2026,29.609916666666663
M,Afghanistan,45_54,4,Caroline Springs,2026,29.609916666666663
M,Afghanistan,45_54,5,Carrum Downs,2026,29.609916666666663
M,Afghanistan,45_54,6,Clyde (Vic.),2026,29.609916666666663
M,Afghanistan,45_54,57,Clyde North,2026,29.609916666666663
M,Afghanistan,45_54,30,Corio,2026,29.609916666666663
M,Afghanistan,45_54,16,Craigieburn,2026,29.609916666666663
M,Afghanistan,45_54,38,Cranbourne,2026,29.609916666666663
M,Afghanistan,45_54,57,Cranbourne East,2026,29.609916666666663
M,Afghanistan,45_54,105,Cranbourne North,2026,29.609916666666663
M,Afghanistan,45_54,50,Cranbourne West,2026,29.609916666666663
M,Afghanistan,45_54,306,Dandenong,2026,29.609916666666663
M,Afghanistan,45_54,75,Dandenong North,2026,29.609916666666663
M,Afghanistan,45_54,7,Deer Park,2026,29.609916666666663
M,Afghanistan,45_54,6,Delahey,2026,29.609916666666663
M,Afghanistan,45_54,3,Derrimut,2026,29.609916666666663
M,Afghanistan,45_54,108,Doveton,2026,29.609916666666663
M,Afghanistan,45_54,83,Endeavour Hills,2026,29.609916666666663
M,Afghanistan,45_54,4,Epping (Vic.),2026,29.609916666666663
M,Afghanistan,45_54,18,Eumemmerring,2026,29.609916666666663
M,Afghanistan,45_54,3,Fawkner,2026,29.609916666666663
M,Afghanistan,45_54,3,Ferntree Gully,2026,29.609916666666663
M,Afghanistan,45_54,5,Glen Waverley,2026,29.609916666666663
M,Afghanistan,45_54,113,Hallam,2026,29.609916666666663
M,Afghanistan,45_54,139,Hampton Park,2026,29.609916666666663
M,Afghanistan,45_54,3,Harkaway,2026,29.609916666666663
M,Afghanistan,45_54,3,Highton,2026,29.609916666666663
M,Afghanistan,45_54,3,Hoppers Crossing,2026,29.609916666666663
M,Afghanistan,45_54,13,Keysborough,2026,29.609916666666663
M,Afghanistan,45_54,9,Kialla,2026,29.609916666666663
M,Afghanistan,45_54,5,Lalor,2026,29.609916666666663
M,Afghanistan,45_54,33,Lynbrook,2026,29.609916666666663
M,Afghanistan,45_54,23,Lyndhurst (Vic.),2026,29.609916666666663
M,Afghanistan,45_54,3,Lysterfield,2026,29.609916666666663
M,Afghanistan,45_54,4,Melton (Vic.),2026,29.609916666666663
M,Afghanistan,45_54,4,Melton West,2026,29.609916666666663
M,Afghanistan,45_54,17,Mildura,2026,29.609916666666663
M,Afghanistan,45_54,3,Mount Duneed,2026,29.609916666666663
M,Afghanistan,45_54,3,Mulgrave (Vic.),2026,29.609916666666663
M,Afghanistan,45_54,88,Narre Warren,2026,29.609916666666663
M,Afghanistan,45_54,21,Narre Warren North,2026,29.609916666666663
M,Afghanistan,45_54,202,Narre Warren South,2026,29.609916666666663
M,Afghanistan,45_54,17,Noble Park,2026,29.609916666666663
M,Afghanistan,45_54,10,Norlane,2026,29.609916666666663
M,Afghanistan,45_54,6,Officer,2026,29.609916666666663
M,Afghanistan,45_54,19,Pakenham,2026,29.609916666666663
M,Afghanistan,45_54,7,Point Cook,2026,29.609916666666663
M,Afghanistan,45_54,3,Preston (Vic.),2026,29.609916666666663
M,Afghanistan,45_54,7,Reservoir (Vic.),2026,29.609916666666663
M,Afghanistan,45_54,4,Robinvale,2026,29.609916666666663
M,Afghanistan,45_54,8,Rowville,2026,29.609916666666663
M,Afghanistan,45_54,3,Roxburgh Park,2026,29.609916666666663
M,Afghanistan,45_54,3,Scoresby,2026,29.609916666666663
M,Afghanistan,45_54,76,Shepparton,2026,29.609916666666663
M,Afghanistan,45_54,4,Skye (Vic.),2026,29.609916666666663
M,Afghanistan,45_54,4,Southbank,2026,29.609916666666663
