Year,Year ending,Demographic Category,Demographic Group,Country of Birth,Unique Alleged Offenders
2018,June,Age Group,10_24,Afghanistan,84
2018,June,Age Group,10_24,Australia,8558
2018,June,Age Group,10_24,China,104
2018,June,Age Group,10_24,India,155
2018,June,Age Group,10_24,Iran,41
2018,June,Age Group,10_24,New Zealand,309
2018,June,Age Group,10_24,South Sudan & Sudan,222
2018,June,Age Group,10_24,Sri Lanka,34
2018,June,Age Group,10_24,UK & Ireland,116
2018,June,Age Group,10_24,Vietnam,60
2018,June,Age Group,25_44,Afghanistan,71
2018,June,Age Group,25_44,Australia,8322
2018,June,Age Group,25_44,China,122
2018,June,Age Group,25_44,India,265
2018,June,Age Group,25_44,Iran,57
2018,June,Age Group,25_44,New Zealand,308
2018,June,Age Group,25_44,South Sudan & Sudan,199
2018,June,Age Group,25_44,Sri Lanka,48
2018,June,Age Group,25_44,UK & Ireland,145
2018,June,Age Group,25_44,Vietnam,96
2018,June,Age Group,25_44,Afghanistan,70
2018,June,Age Group,25_44,Australia,7476
2018,June,Age Group,25_44,China,113
2018,June,Age Group,25_44,India,325
2018,June,Age Group,25_44,Iran,85
2018,June,Age Group,25_44,New Zealand,270
2018,June,Age Group,25_44,South Sudan & Sudan,99
2018,June,Age Group,25_44,Sri Lanka,59
2018,June,Age Group,25_44,UK & Ireland,133
2018,June,Age Group,25_44,Vietnam,129
2018,June,Age Group,25_44,Afghanistan,50
2018,June,Age Group,25_44,Australia,6776
2018,June,Age Group,25_44,China,80
2018,June,Age Group,25_44,India,215
2018,June,Age Group,25_44,Iran,52
2018,June,Age Group,25_44,New Zealand,208
2018,June,Age Group,25_44,South Sudan & Sudan,62
2018,June,Age Group,25_44,Sri Lanka,55
2018,June,Age Group,25_44,UK & Ireland,104
2018,June,Age Group,25_44,Vietnam,159
2018,June,Age Group,25_44,Afghanistan,21
2018,June,Age Group,25_44,Australia,5956
2018,June,Age Group,25_44,China,42
2018,June,Age Group,25_44,India,84
2018,June,Age Group,25_44,Iran,43
2018,June,Age Group,25_44,New Zealand,150
2018,June,Age Group,25_44,South Sudan & Sudan,41
2018,June,Age Group,25_44,Sri Lanka,39
2018,June,Age Group,25_44,UK & Ireland,107
2018,June,Age Group,25_44,Vietnam,156
2018,June,Age Group,45_54,Afghanistan,21
2018,June,Age Group,45_54,Australia,4970
2018,June,Age Group,45_54,China,52
2018,June,Age Group,45_54,India,42
2018,June,Age Group,45_54,Iran,18
2018,June,Age Group,45_54,New Zealand,108
2018,June,Age Group,45_54,South Sudan & Sudan,26
2018,June,Age Group,45_54,Sri Lanka,36
2018,June,Age Group,45_54,UK & Ireland,113
2018,June,Age Group,45_54,Vietnam,126
2018,June,Age Group,45_54,Afghanistan,19
2018,June,Age Group,45_54,Australia,2836
2018,June,Age Group,45_54,China,50
2018,June,Age Group,45_54,India,38
2018,June,Age Group,45_54,Iran,14
2018,June,Age Group,45_54,New Zealand,64
2018,June,Age Group,45_54,South Sudan & Sudan,10
2018,June,Age Group,45_54,Sri Lanka,22
2018,June,Age Group,45_54,UK & Ireland,99
2018,June,Age Group,45_54,Vietnam,89
2018,June,Age Group,55 years and over,Afghanistan,14
2018,June,Age Group,55 years and over,Australia,3281
2018,June,Age Group,55 years and over,China,84
2018,June,Age Group,55 years and over,India,55
2018,June,Age Group,55 years and over,Iran,6
2018,June,Age Group,55 years and over,New Zealand,74
2018,June,Age Group,55 years and over,South Sudan & Sudan,7
2018,June,Age Group,55 years and over,Sri Lanka,33
2018,June,Age Group,55 years and over,UK & Ireland,180
2018,June,Age Group,55 years and over,Vietnam,97
2017,June,Age Group,10_24,Afghanistan,18
2017,June,Age Group,10_24,Australia,5735
2017,June,Age Group,10_24,China,20
2017,June,Age Group,10_24,India,9
2017,June,Age Group,10_24,Iran,12
2017,June,Age Group,10_24,New Zealand,208
2017,June,Age Group,10_24,South Sudan & Sudan,125
2017,June,Age Group,10_24,Sri Lanka,4
2017,June,Age Group,10_24,UK & Ireland,24
2017,June,Age Group,10_24,Vietnam,11
2017,June,Age Group,10_24,Afghanistan,22
2017,June,Age Group,10_24,Australia,3533
2017,June,Age Group,10_24,China,20
2017,June,Age Group,10_24,India,17
2017,June,Age Group,10_24,Iran,9
2017,June,Age Group,10_24,New Zealand,112
2017,June,Age Group,10_24,South Sudan & Sudan,81
2017,June,Age Group,10_24,Sri Lanka,2
2017,June,Age Group,10_24,UK & Ireland,32
2017,June,Age Group,10_24,Vietnam,10
2017,June,Age Group,10_24,Afghanistan,89
2017,June,Age Group,10_24,Australia,9239
2017,June,Age Group,10_24,China,111
2017,June,Age Group,10_24,India,122
2017,June,Age Group,10_24,Iran,36
2017,June,Age Group,10_24,New Zealand,324
2017,June,Age Group,10_24,South Sudan & Sudan,224
2017,June,Age Group,10_24,Sri Lanka,35
2017,June,Age Group,10_24,UK & Ireland,123
2017,June,Age Group,10_24,Vietnam,82
2017,June,Age Group,25_44,Afghanistan,75
2017,June,Age Group,25_44,Australia,8557
2017,June,Age Group,25_44,China,127
2017,June,Age Group,25_44,India,248
2017,June,Age Group,25_44,Iran,60
2017,June,Age Group,25_44,New Zealand,320
2017,June,Age Group,25_44,South Sudan & Sudan,175
2017,June,Age Group,25_44,Sri Lanka,52
2017,June,Age Group,25_44,UK & Ireland,157
2017,June,Age Group,25_44,Vietnam,98
2017,June,Age Group,25_44,Afghanistan,72
2017,June,Age Group,25_44,Australia,7494
2017,June,Age Group,25_44,China,110
2017,June,Age Group,25_44,India,290
2017,June,Age Group,25_44,Iran,76
2017,June,Age Group,25_44,New Zealand,269
2017,June,Age Group,25_44,South Sudan & Sudan,103
2017,June,Age Group,25_44,Sri Lanka,67
2017,June,Age Group,25_44,UK & Ireland,137
2017,June,Age Group,25_44,Vietnam,125
2017,June,Age Group,25_44,Afghanistan,35
2017,June,Age Group,25_44,Australia,6859
2017,June,Age Group,25_44,China,58
2017,June,Age Group,25_44,India,183
2017,June,Age Group,25_44,Iran,48
2017,June,Age Group,25_44,New Zealand,194
2017,June,Age Group,25_44,South Sudan & Sudan,66
2017,June,Age Group,25_44,Sri Lanka,69
2017,June,Age Group,25_44,UK & Ireland,117
2017,June,Age Group,25_44,Vietnam,159
2017,June,Age Group,25_44,Afghanistan,24
2017,June,Age Group,25_44,Australia,5963
2017,June,Age Group,25_44,China,50
2017,June,Age Group,25_44,India,80
2017,June,Age Group,25_44,Iran,40
2017,June,Age Group,25_44,New Zealand,176
2017,June,Age Group,25_44,South Sudan & Sudan,46
2017,June,Age Group,25_44,Sri Lanka,39
2017,June,Age Group,25_44,UK & Ireland,97
2017,June,Age Group,25_44,Vietnam,154
2017,June,Age Group,45_54,Afghanistan,16
2017,June,Age Group,45_54,Australia,4685
2017,June,Age Group,45_54,China,50
2017,June,Age Group,45_54,India,44
2017,June,Age Group,45_54,Iran,18
2017,June,Age Group,45_54,New Zealand,115
2017,June,Age Group,45_54,South Sudan & Sudan,19
2017,June,Age Group,45_54,Sri Lanka,31
2017,June,Age Group,45_54,UK & Ireland,126
2017,June,Age Group,45_54,Vietnam,111
2017,June,Age Group,45_54,Afghanistan,16
2017,June,Age Group,45_54,Australia,2657
2017,June,Age Group,45_54,China,46
2017,June,Age Group,45_54,India,25
2017,June,Age Group,45_54,Iran,8
2017,June,Age Group,45_54,New Zealand,66
2017,June,Age Group,45_54,South Sudan & Sudan,11
2017,June,Age Group,45_54,Sri Lanka,22
2017,June,Age Group,45_54,UK & Ireland,94
2017,June,Age Group,45_54,Vietnam,78
2017,June,Age Group,55 years and over,Afghanistan,10
2017,June,Age Group,55 years and over,Australia,2976
2017,June,Age Group,55 years and over,China,64
2017,June,Age Group,55 years and over,India,44
2017,June,Age Group,55 years and over,Iran,18
2017,June,Age Group,55 years and over,New Zealand,67
2017,June,Age Group,55 years and over,South Sudan & Sudan,4
2017,June,Age Group,55 years and over,Sri Lanka,44
2017,June,Age Group,55 years and over,UK & Ireland,165
2017,June,Age Group,55 years and over,Vietnam,75
2016,June,Age Group,10_24,Afghanistan,14
2016,June,Age Group,10_24,Australia,5916
2016,June,Age Group,10_24,China,19
2016,June,Age Group,10_24,India,12
2016,June,Age Group,10_24,Iran,11
2016,June,Age Group,10_24,New Zealand,196
2016,June,Age Group,10_24,South Sudan & Sudan,99
2016,June,Age Group,10_24,Sri Lanka,2
2016,June,Age Group,10_24,UK & Ireland,29
2016,June,Age Group,10_24,Vietnam,10
2016,June,Age Group,10_24,Afghanistan,23
2016,June,Age Group,10_24,Australia,3486
2016,June,Age Group,10_24,China,16
2016,June,Age Group,10_24,India,11
2016,June,Age Group,10_24,Iran,10
2016,June,Age Group,10_24,New Zealand,121
2016,June,Age Group,10_24,South Sudan & Sudan,70
2016,June,Age Group,10_24,Sri Lanka,2
2016,June,Age Group,10_24,UK & Ireland,25
2016,June,Age Group,10_24,Vietnam,11
2016,June,Age Group,10_24,Afghanistan,65
2016,June,Age Group,10_24,Australia,9808
2016,June,Age Group,10_24,China,77
2016,June,Age Group,10_24,India,88
2016,June,Age Group,10_24,Iran,33
2016,June,Age Group,10_24,New Zealand,326
2016,June,Age Group,10_24,South Sudan & Sudan,200
2016,June,Age Group,10_24,Sri Lanka,26
2016,June,Age Group,10_24,UK & Ireland,148
2016,June,Age Group,10_24,Vietnam,86
2016,June,Age Group,25_44,Afghanistan,78
2016,June,Age Group,25_44,Australia,8499
2016,June,Age Group,25_44,China,101
2016,June,Age Group,25_44,India,230
2016,June,Age Group,25_44,Iran,55
2016,June,Age Group,25_44,New Zealand,307
2016,June,Age Group,25_44,South Sudan & Sudan,162
2016,June,Age Group,25_44,Sri Lanka,40
2016,June,Age Group,25_44,UK & Ireland,147
2016,June,Age Group,25_44,Vietnam,106
2016,June,Age Group,25_44,Afghanistan,57
2016,June,Age Group,25_44,Australia,7451
2016,June,Age Group,25_44,China,104
2016,June,Age Group,25_44,India,274
2016,June,Age Group,25_44,Iran,59
2016,June,Age Group,25_44,New Zealand,250
2016,June,Age Group,25_44,South Sudan & Sudan,87
2016,June,Age Group,25_44,Sri Lanka,65
2016,June,Age Group,25_44,UK & Ireland,115
2016,June,Age Group,25_44,Vietnam,159
2016,June,Age Group,25_44,Afghanistan,37
2016,June,Age Group,25_44,Australia,6679
2016,June,Age Group,25_44,China,62
2016,June,Age Group,25_44,India,160
2016,June,Age Group,25_44,Iran,26
2016,June,Age Group,25_44,New Zealand,174
2016,June,Age Group,25_44,South Sudan & Sudan,44
2016,June,Age Group,25_44,Sri Lanka,47
2016,June,Age Group,25_44,UK & Ireland,111
2016,June,Age Group,25_44,Vietnam,190
2016,June,Age Group,25_44,Afghanistan,21
2016,June,Age Group,25_44,Australia,6160
2016,June,Age Group,25_44,China,55
2016,June,Age Group,25_44,India,57
2016,June,Age Group,25_44,Iran,24
2016,June,Age Group,25_44,New Zealand,160
2016,June,Age Group,25_44,South Sudan & Sudan,37
2016,June,Age Group,25_44,Sri Lanka,31
2016,June,Age Group,25_44,UK & Ireland,105
2016,June,Age Group,25_44,Vietnam,145
2016,June,Age Group,45_54,Afghanistan,18
2016,June,Age Group,45_54,Australia,4289
2016,June,Age Group,45_54,China,42
2016,June,Age Group,45_54,India,35
2016,June,Age Group,45_54,Iran,18
2016,June,Age Group,45_54,New Zealand,97
2016,June,Age Group,45_54,South Sudan & Sudan,17
2016,June,Age Group,45_54,Sri Lanka,24
2016,June,Age Group,45_54,UK & Ireland,130
2016,June,Age Group,45_54,Vietnam,125
2016,June,Age Group,45_54,Afghanistan,9
2016,June,Age Group,45_54,Australia,2483
2016,June,Age Group,45_54,China,51
2016,June,Age Group,45_54,India,33
2016,June,Age Group,45_54,Iran,9
2016,June,Age Group,45_54,New Zealand,71
2016,June,Age Group,45_54,South Sudan & Sudan,12
2016,June,Age Group,45_54,Sri Lanka,19
2016,June,Age Group,45_54,UK & Ireland,111
2016,June,Age Group,45_54,Vietnam,66
2016,June,Age Group,55 years and over,Afghanistan,8
2016,June,Age Group,55 years and over,Australia,2870
2016,June,Age Group,55 years and over,China,80
2016,June,Age Group,55 years and over,India,32
2016,June,Age Group,55 years and over,Iran,9
2016,June,Age Group,55 years and over,New Zealand,58
2016,June,Age Group,55 years and over,South Sudan & Sudan,7
2016,June,Age Group,55 years and over,Sri Lanka,21
2016,June,Age Group,55 years and over,UK & Ireland,165
2016,June,Age Group,55 years and over,Vietnam,81
